,id,title,url,content,genre
0,1,...Và ông già trẻ,https://www.thivien.net/T%C3%BA-M%E1%BB%A1/V%C3%A0-%C3%B4ng-gi%C3%A0-tr%E1%BA%BB/poem-aWQJu-E0bPixeTe04WGMzA,"Ngược đời có lắm cụ già nua
Nhí nhảnh làm ra bộ tuổi thơ
Đầu tóc nhuộm đen hòng trẻ lại
Râu ria cạo trụi rõ...trai lơ
Đua chơi ra phết ông còn khoẻ
Làm việc lơ mơ, cụ kiếu già
Thấy gái y như mèo thấy mỡ
Năm thê bảy thiếp cũng không vừa",Tu do
1,2,“Mầm sinh sẽ nảy trong mầm diệt”,https://www.thivien.net/Nguy%E1%BB%85n-V%C5%A9-Ti%E1%BB%81m/M%E1%BA%A7m-sinh-s%E1%BA%BD-n%E1%BA%A3y-trong-m%E1%BA%A7m-di%E1%BB%87t/poem-Qbq7pUrlbWE7TXOE0hheow,"Mầm sinh sẽ nảy trong mầm diệt
Mầm gì sẽ nảy sau câu ca?
Bạn hãy cạn ly rồi cạn sáng
Kẻo nữa xuân hè cạn đến ta!",7 chu
2,3,“Nàng tiên” ấy...,https://www.thivien.net/Xu%C3%A2n-Mi%E1%BB%81n/N%C3%A0ng-ti%C3%AAn-%E1%BA%A5y/poem-ChC0jxCO0ZyTEtJuRtwVaQ,"Ở đời lắm cảnh xót thương thay
Khôn lớn, trưởng thành nỡ phủi tay
Nghĩa Mẹ như non sao chẳng nhớ
Công Cha tựa núi cũng không hay
Ông bà dạy dỗ vâng qua chuyện
Chú bác khuyên răn dạ lấy ngày
Bài bạc, rượu chè rồi nghiện hút
Cửa nhà, tài sản thảy đều bay.

Qúa nửa đời người vẫn trắng tay
Dáng hình tiều tuỵ, xác thân gầy
Vào tù chịu khó nhìn song cửa
Trong trại siêng năng gỡ lịch dày
Cha ốm, Mẹ đau ai phụng dưỡng
Vợ con non trẻ lệ nhoè cay
Bê tha, đen đỏ “nàng tiên” ấy
Dẫn đến ly tan, cảnh đoạ đày.",Tu do
3,4,“Quan ngơi”,https://www.thivien.net/Cao-B%C3%A1-Qu%C3%A1t/Quan-ng%C6%A1i/poem-fvGX2ZMxCaMEjcQpSRjL6A,"Một buổi hầu rồi một buổi ngơi,
Đâu còn nhớ chữ “viễn phương lai”.
Mới sang chừng ấy ngơi chừng ấy,
Sang nữa thì ngơi biết mấy đời.",7 chu
4,5,“Theo lời Bác dặn”,https://www.thivien.net/Xu%C3%A2n-Mi%E1%BB%81n/Theo-l%E1%BB%9Di-B%C3%A1c-d%E1%BA%B7n/poem-htiGh_xG6CozqUG5gsLF2Q,"Kỷ niệm 40 năm thực hiện di chúc của Người (9/1969 - 9/2009)

Bốn mươi năm trước Bác “đi xa”
Cả nước đau thương mắt lệ nhoà
Ngoài Bắc mưa tuôn - trời vĩnh biệt
Trong Nam gió nổi - đất chia xa.
Năm châu bè bạn cùng đưa tiễn
Bốn biển đồng bào kính viếng hoa
Thương nhớ Bác Hồ - Dân, Đảng quyết
Làm theo di chúc, nước vinh hoà.

Làm theo di chúc nước vinh hoà
Tự do, độc lập giải sơn hà
Giao lưu thế giới - trời xanh lại
Hội nhập toàn cầu - đất nở hoa.
Xoá đói, giảm nghèo Dân hạnh phúc
Diệt tham, trừ nhũng Đảng tăng đà
Bốn mươi năm chẵn theo lời dặn
Di chúc Bác Hồ - nước tiến xa.",Tu do
5,6,"“Trên mưa, còn dưới nắng”",https://www.thivien.net/Nguy%E1%BB%85n-V%C5%A9-Ti%E1%BB%81m/Tr%C3%AAn-m%C6%B0a-c%C3%B2n-d%C6%B0%E1%BB%9Bi-n%E1%BA%AFng/poem-ohJMt93CN-WRh2LJHJEImQ,"Trên mưa, còn có nắng
Dưới sóng, biển bình yên
Đá lạnh còn giữ lửa
Tình phai còn căn duyên?",5 chu
6,7,11,https://www.thivien.net/Xu%C3%A2n-S%C3%A1ch/11/poem-yxA0uAko4Qq0Oj4Wcy3F1g,"soi riêng một mặt người
Chia ly đôi bạn cách phương trời
Ước mơ của đất anh về đất
Im lặng mà không cứu nổi đời.",Tu do
7,8,13,https://www.thivien.net/Xu%C3%A2n-S%C3%A1ch/13/poem-IDENIYqPjM1hCd0wQJIuog,"Một nắm xương khô cũng gọi mỡ
Quanh năm múa bút để mua vui
Tưởng cụ vẫn bơi
Nào ngờ trở gió lại trôi xuôi.",Tu do
8,9,17,https://www.thivien.net/Xu%C3%A2n-S%C3%A1ch/17/poem-tQZaVBVvAOLds06MwoEKmw,"Hỏng đôi mắt phải đâu là mất hết
Trong cặp còn
Ông cố vấn chẳng sợ gì cái chết
Cao điểm cuối cùng quyết chí xông lên.",Tu do
9,10,2,https://www.thivien.net/Xu%C3%A2n-S%C3%A1ch/2/poem-muWIrrSqZz5qC3SwpsPLWw,"tràn lên nước vỡ bờ
Đã vào lửa đỏ hãy còn mơ
Bay chi mặt trận trên cao ấy
Quên chú nai đen vẫn đứng chờ.",Tu do
10,11,20 năm trở lại Huế,https://www.thivien.net/Nguy%E1%BB%85n-Ng%E1%BB%8Dc-%C4%90%C3%A0m/20-n%C4%83m-tr%E1%BB%9F-l%E1%BA%A1i-Hu%E1%BA%BF/poem-z8tcPo--gCXQLzohhBbtvg,"Ta về thăm lại Huế ta mơ
Cảnh cũ đổi thay đến chẳng ngờ
Thêm hai mươi tuổi em càng đẹp
Lãng tử như ta cũng thẫn thờ.",7 chu
